,Price,lower Price,upper Price
2021-05-23,65.0,,
2021-05-30,66.38888888888889,,
2021-06-06,65.0,,
2021-06-13,65.625,,
2021-06-20,65.41666666666667,,
2021-06-27,65.5,,
2021-07-04,65.0,,
2021-07-11,65.0,,
2021-07-18,65.0,,
2021-07-25,65.0,,
2021-08-01,65.0,,
2021-08-08,65.0,,
2021-08-15,65.0,,
2021-08-22,65.5,,
2021-08-29,67.5,,
2021-09-05,67.5,,
2021-09-12,67.5,,
2021-09-19,72.5,,
2021-09-26,72.5,,
2021-10-03,72.5,,
2021-10-10,72.5,,
2021-10-17,72.5,,
2021-10-24,72.5,,
2021-10-31,72.5,,
2021-11-07,72.5,,
2021-11-14,72.5,,
2021-11-21,72.5,,
2021-11-28,72.5,,
2021-12-05,72.5,,
2021-12-12,72.5,,
2021-12-19,67.5,,
2021-12-26,67.5,,
2022-01-02,71.25,,
2022-01-09,72.5,,
2022-01-16,75.0,,
2022-01-23,77.5,,
2022-01-30,77.5,,
2022-02-06,74.0,,
2022-02-13,73.75,,
2022-02-20,75.0,,
2022-02-27,75.0,,
2022-03-06,73.83333333333333,,
2022-03-13,74.75,,
2022-03-20,74.3,,
2022-03-27,73.85,,
2022-04-03,73.4,,
2022-04-10,72.95,,
2022-04-17,72.5,,
2022-04-24,71.5,,
2022-05-01,71.5,,
2022-05-08,70.0,,
2022-05-15,70.625,,
2022-05-22,71.25,,
2022-05-29,72.5,,
2022-06-05,69.0,,
2022-06-12,69.0,,
2022-06-19,69.0,,
2022-06-26,72.5,,
2022-07-03,72.5,,
2022-07-10,72.5,,
2022-07-17,72.5,,
2022-07-24,72.5,,
2022-07-31,72.5,,
2022-08-07,72.5,,
2022-08-14,72.5,,
2022-08-21,72.5,,
2022-08-28,72.5,,
2022-09-04,73.4375,,
2022-09-11,74.375,,
2022-09-18,75.3125,,
2022-09-25,76.25,,
2022-10-02,77.1875,,
2022-10-09,78.125,,
2022-10-16,79.0625,,
2022-10-23,80.0,,
2022-10-30,80.9375,,
2022-11-06,81.875,,
2022-11-13,82.8125,,
2022-11-20,83.75,,
2022-11-27,84.6875,,
2022-12-04,85.625,,
2022-12-11,86.5625,,
2022-12-18,87.5,,
2022-12-25,86.25,,
2023-01-01,85.0,,
2023-01-08,85.0,,
2023-01-15,87.14285714285714,,
2023-01-22,87.07142857142857,,
2023-01-29,87.5,,
2023-02-05,87.5,,
2023-02-12,87.5,,
2023-02-19,91.07142857142857,,
2023-02-26,91.66666666666667,,
2023-03-05,89.64285714285714,,
2023-03-12,92.5,,
2023-03-19,87.14285714285714,,
2023-03-26,85.0,,
2023-04-02,85.0,,
2023-04-09,85.0,,
2023-04-16,84.58333333333333,,
2023-04-23,82.5,,
2023-04-30,82.5,,
2023-05-07,82.5,,
2023-05-14,82.5,,
2023-05-21,82.5,,
2023-05-28,82.5,,
2023-06-04,82.5,,
2023-06-11,82.0,,
2023-06-18,80.0,,
2023-06-25,77.5,,
2023-07-02,80.0,,
2023-07-09,80.0,,
2023-07-16,80.0,,
2023-07-23,80.0,,
2023-07-30,80.0,,
2023-08-06,80.0,,
2023-08-13,79.16666666666667,,
2023-08-20,77.5,,
2023-08-27,77.5,,
2023-09-03,77.5,,
2023-09-10,77.5,,
2023-09-17,80.0,,
2023-09-24,80.0,,
2023-10-01,82.5,,
2023-10-08,87.5,,
2023-10-15,87.5,,
2023-10-22,87.5,,
2023-10-29,87.5,,
2023-11-05,86.25,,
2023-11-12,85.41666666666667,,
2023-11-19,87.14285714285714,,
2023-11-26,87.5,,
2023-12-03,87.5,,
2023-12-10,87.5,,
2023-12-17,89.58333333333333,,
2023-12-24,90.0,,
2023-12-31,92.5,,
2024-01-07,92.5,,
2024-01-14,92.5,,
2024-01-21,92.5,,
2024-01-28,95.35714285714286,,
2024-02-04,101.42857142857143,,
2024-02-11,102.5,,
2024-02-18,102.5,,
2024-02-25,102.5,,
2024-03-03,102.91666666666667,,
2024-03-10,105.0,,
2024-03-17,105.0,,
2024-03-24,105.0,,
2024-03-31,105.0,,
2024-04-07,105.0,,
2024-04-14,103.0,,
2024-04-21,100.0,,
2024-04-28,103.57142857142857,,
2024-05-05,100.83333333333333,,
2024-05-12,100.0,,
2024-05-19,100.0,,
2024-05-26,102.0,,
2024-06-02,105.0,,
2024-06-09,105.0,,
2024-06-16,112.85714285714286,,
2024-06-23,115.0,,
2024-06-30,115.0,,
2024-07-07,115.0,,
2024-07-14,115.0,,
2024-07-21,115.0,,
2024-07-28,115.41666666666667,,
2024-08-04,115.52083333333334,,
2024-08-11,115.625,,
2024-08-18,116.66666666666667,,
2024-08-25,117.27272727272727,,
2024-09-01,117.08333333333333,,
2024-09-08,115.0,,
2024-09-15,115.71428571428571,,
2024-09-22,120.0,,
2024-09-29,123.75,,
2024-10-06,125.0,,
2024-10-13,128.0,,
2024-10-20,130.0,,
2024-10-27,130.0,,
2024-11-03,128.33333333333334,,
2024-11-10,134.28571428571428,,
2024-11-17,135.0,,
2024-11-24,133.57142857142858,,
2024-12-01,131.42857142857142,,
2024-12-08,131.78571428571428,,
2024-12-15,130.0,,
2024-12-22,130.0,,
2024-12-29,130.0,,
2025-01-05,127.5,,
2025-01-12,124.64285714285714,,
2025-01-19,124.14285714285714,,
2025-01-26,120.35714285714286,,
2025-02-02,122.85714285714286,,
2025-02-09,116.5,,
2025-02-16,114.58333333333333,,
2025-02-23,112.5,,
2025-03-02,112.5,,
2025-03-09,112.14285714285714,,
2025-03-16,105.35714285714286,,
2025-03-23,105.0,,
2025-03-30,104.58333333333333,,
2025-04-06,104.16666666666667,,
2025-04-13,102.5,,
2025-04-20,102.5,,
2025-04-27,101.42857142857143,,
2025-05-04,100.0,,
2025-05-11,100.0,,
2025-05-18,99.64285714285714,,
2025-05-25,100.0,,
2025-06-01,98.33333333333333,,
2025-06-08,97.5,,
2025-06-15,96.66666666666667,,
2025-06-22,100.0,,
2025-06-29,99.28571428571429,,
2025-07-06,98.75,,
2025-07-13,100.0,,
2025-07-20,100.0,,
2025-07-27,100.0,,
2025-08-03,100.0,,
2025-08-10,100.0,,
2025-08-17,102.08333333333333,,
2025-08-24,102.5,,
2025-08-31,102.5,,
2025-09-07,102.5,,
2025-09-14,102.5,,
2025-09-21,107.14285714285714,,
2025-09-28,107.5,,
2025-10-05,107.5,,
2025-10-12,107.14285714285714,,
2025-10-19,105.35714285714286,,
2025-10-26,105.0,,
2025-11-02,105.0,,
2025-11-09,105.0,,
2025-11-16,105.0,,
2025-11-23,105.0,,
2025-11-30,104.64285714285714,,
2025-12-07,102.5,,
2025-12-14,102.14285714285714,,
2025-12-21,99.16666666666667,,
2025-12-28,95.0,,
2026-01-04,,91.24054342837131,97.06868318935089
2026-01-11,,89.16902404633674,97.98153779134307
2026-01-18,,87.50545441412693,98.85179021536295
2026-01-25,,86.1025567829125,99.71222236624462
2026-02-01,,84.88686376516404,100.55769035008024
2026-02-08,,83.81198531429726,101.38061078216117
2026-02-15,,82.84593896022996,102.17590871240968
2026-02-22,,82.09161758484811,103.06699041581993
2026-03-01,,80.80587132800692,103.32706019164691
2026-03-08,,80.05090044968317,104.03165037637349
2026-03-15,,79.34258902777711,104.70764992648049
2026-03-22,,78.54765942545632,105.23094026702225
2026-03-29,,77.91207683334314,105.85515884172766
2026-04-05,,77.30540549256415,106.45633386419561
2026-04-12,,76.72399232060948,107.03628847881231
2026-04-19,,76.16487662825828,107.59672696429645
2026-04-26,,75.62562919962414,108.13921590225758
2026-05-03,,75.31884889235674,108.87979562616322
2026-05-10,,74.81361077886383,109.39052148908554
2026-05-17,,74.32309357943707,109.8871670368389
2026-05-24,,73.63145013434684,110.15615627166099
2026-05-31,,73.16684706116372,110.62765388990452
2026-06-07,,72.2029681679855,110.57711024739167
2026-06-14,,71.7605417994013,111.0268229717461
2026-06-21,,71.3280744572462,111.4666989556519
2026-06-28,,70.9049239728752,111.89735112063548
2026-07-05,,70.49051556050671,112.31933417180647
2026-07-12,,70.0843321179635,112.73315142422729
2026-07-19,,69.68590627853382,113.13926077856507
2026-07-26,,69.2948138417521,113.5380799360286
2026-08-02,,68.9106682996113,113.92999094232397
