,Price,predicted_mean
2021-05-23,39.0,
2021-05-30,43.611111111111114,
2021-06-06,50.375,
2021-06-13,49.375,
2021-06-20,48.166666666666664,
2021-06-27,48.0,
2021-07-04,49.857142857142854,
2021-07-11,48.07142857142857,
2021-07-18,47.857142857142854,
2021-07-25,47.5,
2021-08-01,47.5,
2021-08-08,47.5,
2021-08-15,47.5,
2021-08-22,45.6,
2021-08-29,44.833333333333336,
2021-09-05,43.5,
2021-09-12,43.75,
2021-09-19,43.5,
2021-09-26,43.6,
2021-10-03,50.333333333333336,
2021-10-10,69.58333333333333,
2021-10-17,68.125,
2021-10-24,59.8,
2021-10-31,61.625,
2021-11-07,57.4,
2021-11-14,58.5,
2021-11-21,61.25,
2021-11-28,57.0,
2021-12-05,53.75,
2021-12-12,70.0,
2021-12-19,57.5,
2021-12-26,50.625,
2022-01-02,45.625,
2022-01-09,43.833333333333336,
2022-01-16,40.0,
2022-01-23,36.666666666666664,
2022-01-30,30.0,
2022-02-06,26.0,
2022-02-13,30.0,
2022-02-20,45.0,
2022-02-27,48.333333333333336,
2022-03-06,48.333333333333336,
2022-03-13,60.0,
2022-03-20,53.833333333333336,
2022-03-27,47.66666666666667,
2022-04-03,41.5,
2022-04-10,35.333333333333336,
2022-04-17,29.166666666666668,
2022-04-24,28.333333333333332,
2022-05-01,32.5,
2022-05-08,32.5,
2022-05-15,37.0625,
2022-05-22,41.625,
2022-05-29,40.0,
2022-06-05,37.5,
2022-06-12,37.5,
2022-06-19,40.0,
2022-06-26,47.5,
2022-07-03,46.25,
2022-07-10,45.0,
2022-07-17,43.75,
2022-07-24,42.5,
2022-07-31,44.0,
2022-08-07,45.5,
2022-08-14,47.0,
2022-08-21,48.5,
2022-08-28,50.0,
2022-09-04,50.0,
2022-09-11,50.0,
2022-09-18,50.0,
2022-09-25,50.0,
2022-10-02,50.0,
2022-10-09,50.0,
2022-10-16,50.0,
2022-10-23,50.0,
2022-10-30,50.0,
2022-11-06,50.0,
2022-11-13,50.0,
2022-11-20,50.0,
2022-11-27,50.0,
2022-12-04,50.0,
2022-12-11,50.0,
2022-12-18,50.0,
2022-12-25,45.75,
2023-01-01,41.5,
2023-01-08,39.5,
2023-01-15,38.92857142857143,
2023-01-22,38.92857142857143,
2023-01-29,34.642857142857146,
2023-02-05,36.25,
2023-02-12,35.0,
2023-02-19,33.07142857142857,
2023-02-26,32.5,
2023-03-05,31.071428571428573,
2023-03-12,35.0,
2023-03-19,30.714285714285715,
2023-03-26,37.0,
2023-04-02,37.5,
2023-04-09,35.714285714285715,
2023-04-16,35.0,
2023-04-23,35.0,
2023-04-30,47.142857142857146,
2023-05-07,52.5,
2023-05-14,62.142857142857146,
2023-05-21,72.91666666666667,
2023-05-28,72.85714285714286,
2023-06-04,79.0,
2023-06-11,77.5,
2023-06-18,75.83333333333333,
2023-06-25,71.0,
2023-07-02,75.0,
2023-07-09,75.0,
2023-07-16,67.5,
2023-07-23,63.75,
2023-07-30,62.5,
2023-08-06,62.5,
2023-08-13,80.0,
2023-08-20,79.16666666666667,
2023-08-27,82.5,
2023-09-03,85.0,
2023-09-10,85.0,
2023-09-17,75.0,
2023-09-24,75.0,
2023-10-01,75.0,
2023-10-08,86.25,
2023-10-15,90.625,
2023-10-22,93.5,
2023-10-29,98.75,
2023-11-05,127.5,
2023-11-12,128.75,
2023-11-19,118.57142857142857,
2023-11-26,113.21428571428571,
2023-12-03,113.57142857142857,
2023-12-10,143.57142857142858,
2023-12-17,133.33333333333334,
2023-12-24,112.14285714285714,
2023-12-31,92.5,
2024-01-07,85.83333333333333,
2024-01-14,88.92857142857143,
2024-01-21,75.71428571428571,
2024-01-28,83.57142857142857,
2024-02-04,89.28571428571429,
2024-02-11,98.33333333333333,
2024-02-18,106.07142857142857,
2024-02-25,113.33333333333333,
2024-03-03,115.0,
2024-03-10,96.0,
2024-03-17,89.16666666666667,
2024-03-24,64.58333333333333,
2024-03-31,59.0,
2024-04-07,50.833333333333336,
2024-04-14,52.0,
2024-04-21,61.07142857142857,
2024-04-28,61.357142857142854,
2024-05-05,67.91666666666667,
2024-05-12,71.07142857142857,
2024-05-19,70.35714285714286,
2024-05-26,71.5,
2024-06-02,75.625,
2024-06-09,82.08333333333333,
2024-06-16,82.5,
2024-06-23,87.5,
2024-06-30,92.5,
2024-07-07,101.42857142857143,
2024-07-14,112.5,
2024-07-21,115.0,
2024-07-28,114.16666666666667,
2024-08-04,114.16666666666667,
2024-08-11,114.16666666666667,
2024-08-18,115.0,
2024-08-25,113.18181818181819,
2024-09-01,115.0,
2024-09-08,114.64285714285714,
2024-09-15,115.0,
2024-09-22,111.0,
2024-09-29,110.0,
2024-10-06,108.21428571428571,
2024-10-13,113.0,
2024-10-20,115.71428571428571,
2024-10-27,125.35714285714286,
2024-11-03,140.0,
2024-11-10,140.0,
2024-11-17,140.0,
2024-11-24,129.28571428571428,
2024-12-01,122.5,
2024-12-08,122.14285714285714,
2024-12-15,112.85714285714286,
2024-12-22,101.0,
2024-12-29,78.5,
2025-01-05,78.33333333333333,
2025-01-12,61.07142857142857,
2025-01-19,59.642857142857146,
2025-01-26,53.57142857142857,
2025-02-02,48.214285714285715,
2025-02-09,47.142857142857146,
2025-02-16,45.0,
2025-02-23,45.0,
2025-03-02,45.0,
2025-03-09,43.92857142857143,
2025-03-16,42.285714285714285,
2025-03-23,41.0,
2025-03-30,40.0,
2025-04-06,37.5,
2025-04-13,39.42857142857143,
2025-04-20,51.25,
2025-04-27,53.214285714285715,
2025-05-04,58.333333333333336,
2025-05-11,57.333333333333336,
2025-05-18,54.0,
2025-05-25,55.0,
2025-06-01,55.0,
2025-06-08,55.0,
2025-06-15,56.666666666666664,
2025-06-22,55.0,
2025-06-29,56.07142857142857,
2025-07-06,57.083333333333336,
2025-07-13,59.285714285714285,
2025-07-20,61.07142857142857,
2025-07-27,60.0,
2025-08-03,64.64285714285714,
2025-08-10,79.58333333333333,
2025-08-17,80.0,
2025-08-24,80.0,
2025-08-31,80.0,
2025-09-07,80.0,
2025-09-14,78.45833333333333,
2025-09-21,75.0,
2025-09-28,74.28571428571429,
2025-10-05,72.5,
2025-10-12,75.0,
2025-10-19,76.78571428571429,
2025-10-26,75.0,
2025-11-02,77.5,
2025-11-09,111.07142857142857,
2025-11-16,112.14285714285714,
2025-11-23,110.0,
2025-11-30,109.28571428571429,
2025-12-07,123.57142857142857,
2025-12-14,,127.70599497294842
2025-12-21,,129.30325165697923
2025-12-28,,130.2680665798413
2026-01-04,,131.07700909480556
2026-01-11,,131.84930969641803
2026-01-18,,132.61479806367956
2026-01-25,,133.38093713426125
2026-02-01,,134.14959402308182
2026-02-08,,134.92123585425153
2026-02-15,,135.69597949520698
2026-02-22,,130.3194849197434
2026-03-01,,129.4627707144849
2026-03-08,,130.24692396039572
2026-03-15,,131.0342178575738
2026-03-22,,137.9790217852525
2026-03-29,,138.77259724272648
2026-04-05,,139.56931350184794
2026-04-12,,140.36917056441075
2026-04-19,,141.17216843086368
2026-04-26,,141.97830710131902
2026-05-03,,140.5241117240184
2026-05-10,,141.33653200254176
2026-05-17,,142.15209308510438
2026-05-24,,145.23426982349318
2026-05-31,,146.05611251413538
2026-06-07,,147.3620123296662
2026-06-14,,148.1901366283881
2026-06-21,,149.0214017311499
2026-06-28,,149.85580763795156
2026-07-05,,150.6933543487931
2026-07-12,,151.5340418636745
